Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Guam,GUM,77.904,68.765,46.792,41.341,39.912,39.036,36.168,35.43,35.357,35.305,33.869,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Guatemala,GTM,111.983,109.177,81.595,80.387,77.794,78.608,76.279,71.729,66.848,64.054,63.163,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Guinea,GIN,157.784,158.157,135.467,132.184,127.879,125.259,122.086,120.255,117.138,114.829,112.231,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Guinea-Bissau,GNB,117.622,128.41,105.516,102.21,98.079,94.639,93.021,91.379,88.923,87.537,85.775,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Guyana,GUY,125.757,102.276,73.888,73.404,71.979,70.484,69.664,68.995,67.801,66.556,64.636,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Haiti,HTI,83.78,76.165,57.571,56.276,55.897,55.628,54.556,54.241,53.643,52.545,51.837,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Honduras,HND,127.428,123.567,79.562,77.993,76.868,75.341,74.666,73.802,72.874,71.972,71.333,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,"Hong Kong SAR, China",HKG,6.607,5.113,3.482,3.643,3.554,3.204,2.592,2.396,1.837,1.584,1.571,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Hungary,HUN,38.126,24.049,24.276,23.966,25.509,23.913,22.762,21.994,22.286,22.148,21.889,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Iceland,ISL,32.803,22.926,8.199,7.482,6.709,6.047,5.699,5.538,5.51,5.395,5.077,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,India,IND,122.287,100.704,34.643,22.432,20.025,20.42,19.275,17.701,17.278,17.234,16.299,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Indonesia,IDN,74.708,54.557,40.797,38.928,36.615,36.012,35.293,34.867,34.485,33.929,32.94,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,"Iran, Islamic Rep.",IRN,85.872,35.483,39.594,37.97,37.001,39.664,37.878,33.325,30.776,30.155,29.663,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Iraq,IRQ,71.342,62.309,81.138,75.916,71.676,68.118,66.424,65.122,63.664,62.192,61.151,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Ireland,IRL,15.814,19.615,8.511,7.924,7.217,6.603,6.37,5.796,5.867,5.941,5.872,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Isle of Man,IMN,28.046,24.286,21.33,20.706,20.414,20.093,19.157,18.605,17.887,17.886,17.518,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Israel,ISR,20.344,17.29,9.919,9.937,9.505,8.724,8.086,8.12,7.58,7.614,7.42,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Italy,ITA,9.021,7.26,5.675,5.214,4.883,4.438,4.133,3.878,3.881,3.993,3.899,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Jamaica,JAM,104.445,74.835,46.678,45.715,41.868,38.554,35.232,33.952,33.313,32.764,32.021,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Japan,JPN,3.484,5.426,4.345,4.027,3.742,3.29,2.992,2.808,2.887,2.903,2.813,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Jordan,JOR,54.236,35.928,31.85,30.402,28.903,27.941,27.314,26.578,25.812,25.369,24.87,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Kazakhstan,KAZ,51.613,32.28,35.737,31.948,28.343,24.787,23.582,22.056,22.878,21.877,20.882,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Kenya,KEN,127.235,114.962,86.955,81.426,76.813,72.354,71.298,69.578,64.939,64.185,62.61,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Kiribati,KIR,59.382,44.063,43.368,43.365,43.56,43.559,43.797,43.123,41.865,40.477,39.585,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,"Korea, Dem. People's Rep.",PRK,6.674,2.512,1.828,2.007,2.068,2.181,2.165,2.327,2.245,2.325,2.447,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,"Korea, Rep.",KOR,4.081,1.81,3.174,2.987,2.838,2.473,2.363,2.387,2.371,2.211,2.108,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Kosovo,XKX,32.099,21.479,11.236,10.122,9.221,9.341,8.847,8.113,8.187,8.225,8.047,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Kuwait,KWT,27.376,18.084,7.908,7.146,6.652,6.248,5.85,5.998,5.934,5.638,5.298,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Kyrgyz Republic,KGZ,50.865,36.096,47.091,44.121,41.777,39.144,38.73,38.365,36.048,34.697,33.766,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Lao PDR,LAO,102.956,100.814,81.074,80.232,79.141,78.08,77.021,76.164,74.572,73.175,71.782,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Latvia,LVA,51.658,20.104,18.532,17.328,15.212,14.152,12.499,12.363,11.199,11.216,10.536,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Lebanon,LBN,50.796,25.208,22.059,21.994,21.926,21.759,21.299,20.896,20.489,20.306,20.04,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Lesotho,LSO,85.521,78.348,90.337,90.797,93.332,93.831,92.029,91.187,89.727,89.568,89.077,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Liberia,LBR,165.303,144.876,141.714,140.428,137.119,133.981,131.507,128.605,126.41,123.38,121.996,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Libya,LBY,14.348,12.221,7.663,7.616,7.506,7.347,7.152,7.054,7.011,6.93,6.987,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Liechtenstein,LIE,6.884,6.663,3.502,3.089,3.587,3.136,3.455,3.151,3.052,3.019,2.98,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Lithuania,LTU,41.314,23.705,14.045,14.238,13.486,12.459,11.603,10.588,10.368,10.377,9.714,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Luxembourg,LUX,14.273,12.264,5.622,5.393,4.92,4.602,4.466,4.306,4.298,4.304,4.248,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,"Macao SAR, China",MAC,9.447,5.344,3.476,3.253,3.01,2.848,2.825,2.677,2.665,2.684,2.664,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Madagascar,MDG,133.152,145.084,131.934,130.238,129.428,127.715,125.276,123.263,121.319,119.429,118.125,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Malawi,MWI,156.917,154.573,133.683,131.928,127.51,125.79,123.64,121.406,119.484,117.865,117.23,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Malaysia,MYS,19.418,12.106,13.434,12.274,10.94,10.054,9.536,9.353,9.315,9.271,9.127,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Maldives,MDV,127.591,31.1,13.638,12.304,11.234,10.086,8.979,8.02,7.62,7.291,6.814,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Mali,MLI,165.353,182.216,164.289,163.29,160.779,159.102,156.631,153.834,152.159,150.062,147.652,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Malta,MLT,9.903,19.869,13.031,12.385,13.123,12.277,12.223,11.384,11.429,11.484,11.509,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Marshall Islands,MHL,136.004,99.344,67.667,66.08,65.329,65.357,65.473,63.645,60.315,58.035,57.47,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Mauritania,MRT,114.4,92.364,83.832,83.095,82.415,81.04,80.51,79.489,78.855,78.013,76.845,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Mauritius,MUS,44.352,38.898,26.073,24.49,24.856,25.132,24.343,24.31,24.551,24.564,24.023,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Mexico,MEX,82.102,73.673,72.893,67.585,64.845,63.587,61.293,58.391,57.865,54.369,53.693,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,"Micronesia, Fed. Sts.",FSM,61.067,65.191,38.521,37.951,38.522,38.378,37.578,37.013,36.125,35.835,35.692,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Moldova,MDA,56.296,43.252,34.852,36.004,35.86,33.112,31.783,28.975,27.354,27.795,27.208,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Monaco,MCO,13.263,13.209,7.765,7.575,7.536,7.168,7.24,7.149,7.175,7.162,6.929,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Mongolia,MNG,36.552,27.173,28.715,31.313,33.643,32.998,32.637,31.077,27.774,26.708,25.031,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Montenegro,MNE,27.157,22.647,11.837,11.293,10.878,10.391,10.319,10.89,10.383,10.361,9.747,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Morocco,MAR,44.386,35.495,29.267,29.145,28.087,27.859,27.546,27.051,26.446,25.936,25.455,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Mozambique,MOZ,159.34,168.573,176.075,174.077,173.018,172.716,170.999,168.855,168.074,165.778,165.136,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Myanmar,MMR,49.257,39.351,33.776,34.081,33.648,33.425,32.988,33.102,33.089,33.043,32.764,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Namibia,NAM,95.316,86.189,72.864,70.805,68.939,68.906,68.184,66.943,65.67,64.944,63.074,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Nauru,NRU,56.403,80.154,77.66,79.647,79.214,77.289,76.898,75.816,74.078,72.479,71.085,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Nepal,NPL,129.901,117.956,78.944,77.024,73.771,70.165,67.469,66.239,64.938,63.837,63.358,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Netherlands,NLD,8.729,7.345,3.626,3.139,2.939,2.762,2.611,2.553,2.613,2.804,2.747,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,New Caledonia,NCL,43.953,29.964,21.971,20.999,21.366,21.15,21.362,21.809,21.86,21.829,21.274,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,New Zealand,NZL,35.883,28.783,19.451,18.869,16.385,15.487,13.323,13.616,12.853,12.63,11.799,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Nicaragua,NIC,148.341,113.855,94.226,93.552,91.879,90.951,89.65,88.623,87.361,85.648,83.964,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Niger,NER,209.991,204.397,175.058,177.002,179.765,178.915,177.961,175.476,172.925,170.462,168.04,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Nigeria,NGA,140.866,132.063,124.209,114.982,107.474,103.925,103.466,102.807,102.215,101.675,99.56,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,North Macedonia,MKD,44.852,31.203,18.327,17.278,16.733,15.993,16.03,15.81,16.101,16.367,16.123,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Northern Mariana Islands,MNP,72.732,77.975,41.975,40.192,37.95,37.101,36.213,35.051,33.918,33.302,32.428,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Norway,NOR,17.595,11.712,5.023,4.519,3.854,3.08,2.606,2.397,2.313,2.336,2.195,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Oman,OMN,110.373,31.447,17.726,17.365,16.332,15.674,14.11,11.317,10.306,9.944,9.693,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Pakistan,PAK,100.516,74.747,49.02,47.579,46.735,45.803,44.908,43.891,43.213,42.269,41.205,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Palau,PLW,53.753,33.038,35.882,36.109,38.158,38.991,44.289,43.558,42.844,42.52,42.111,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Panama,PAN,95.774,93.293,90.182,86.428,81.589,78.616,74.96,71.789,70.838,69.912,68.49,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Papua New Guinea,PNG,83.455,77.637,64.602,61.956,59.612,58.459,57.974,57.098,56.415,55.25,54.335,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Paraguay,PRY,100.271,80.563,76.878,76.163,75.452,73.784,73.67,72.448,71.302,70.347,69.916,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Peru,PER,82.298,74.182,62.668,61.571,60.973,60.209,59.457,58.808,58.053,56.756,56.091,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Philippines,PHL,55.165,52.43,55.16,52.717,50.849,50.202,50.112,49.619,49.156,48.202,48.059,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Poland,POL,29.998,16.681,13.708,12.792,12.284,11.378,10.681,9.856,9.743,9.653,9.16,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Portugal,PRT,23.501,22.083,9.063,8.239,7.898,7.847,7.558,7.799,7.597,7.444,7.065,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Puerto Rico,PRI,77.075,74.114,40.231,34.471,30.451,26.964,20.052,21.856,18.962,18.926,17.705,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Qatar,QAT,52.569,18.958,11.788,10.735,9.549,8.798,8.016,7.549,7.696,7.069,6.896,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Romania,ROU,52.222,39.544,36.568,37.154,38.018,38.65,37.733,37.09,36.763,36.376,35.423,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Russian Federation,RUS,54.33,27.227,27.6,24.819,21.888,18.286,16.24,14.95,14.833,14.988,14.471,..
