Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Timor-Leste,TLS,66.003,60.364,39.963,38.367,37.239,36.54,35.654,35.208,34.557,33.877,33.265,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Togo,TGO,105.655,97.234,83.71,82.951,82.053,81.514,80.53,79.621,78.994,77.88,77.034,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Tonga,TON,30.861,23.819,21.348,20.51,19.278,19.097,19.22,19.502,19.098,18.965,19.245,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Trinidad and Tobago,TTO,60.254,38.992,40.267,39.97,40.032,39.07,39.09,39.109,38.57,38.132,37.73,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Tunisia,TUN,18.624,7.702,9.339,9.628,9.028,8.237,7.455,7.072,6.807,6.685,6.632,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Turkiye,TUR,64.443,53.517,28.912,27.353,25.931,23.905,21.15,19.29,17.74,16.884,15.656,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Turkmenistan,TKM,25.291,25.022,27.347,26.933,26.253,25.1,24.093,23.304,22.52,21.769,21.184,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Turks and Caicos Islands,TCA,62.073,30.911,19.67,19.653,19.518,18.759,17.856,17.137,17.15,17.148,16.551,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Tuvalu,TUV,46.984,34.824,34.249,33.965,33.812,33.415,33.299,33.234,33.603,33.085,31.678,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Uganda,UGA,177.405,167.322,125.144,123.351,117.755,114.781,113.187,112.081,109.579,107.938,105.679,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Ukraine,UKR,58.033,30.769,28.32,28.585,26.365,22.932,19.558,16.547,15.323,15.642,15.175,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,United Arab Emirates,ARE,48.493,25.818,8.819,7.785,7.035,5.593,4.275,3.825,3.077,3.085,2.844,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,United Kingdom,GBR,34.556,29.058,15.983,14.857,14.162,13.141,12.338,11.342,10.645,10.541,9.985,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,United States,USA,60.633,46.734,24.036,21.899,19.867,18.423,17.06,16.414,15.83,15.966,15.119,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Uruguay,URY,62.495,70.557,59.981,57.871,53.316,48.21,42.587,38.377,35.927,36.226,35.196,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Uzbekistan,UZB,43.569,20.941,25.77,24.898,22.444,20.097,19.015,17.452,16.479,15.859,15.693,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Vanuatu,VUT,82.776,73.959,72.26,71.024,70.304,67.814,66.55,65.864,64.857,64.063,63.164,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,"Venezuela, RB",VEN,97.802,96.234,92.555,90.609,89.135,88.435,86.243,85.343,84.075,82.715,82.006,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Viet Nam,VNM,43.715,27.968,36.25,35.761,34.813,34.291,34.514,34.703,34.709,34.6,34.992,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Virgin Islands (U.S.),VIR,75.863,57.292,39.631,36.997,33.655,33.116,32.406,31.85,31.396,31.244,29.905,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,West Bank and Gaza,PSE,109.959,91.024,53.006,53.807,50.455,48.274,46.596,45.982,44.531,43.469,42.901,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,"Yemen, Rep.",YEM,152.051,110.114,67.098,64.753,62.113,60.335,58.9,57.83,56.16,54.404,52.497,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Zambia,ZMB,150.216,158.291,130.447,128.861,129.067,128.315,124.849,122.836,119.009,117.017,116.091,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Zimbabwe,ZWE,102.251,100.942,105.952,102.084,100.884,98.265,98.507,97.354,96.18,94.312,92.566,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: Health Nutrition and Population Statistics,,,,,,,,,,,,,,,
Last Updated: 07/01/2024,,,,,,,,,,,,,,,
